"","id_user","name_user","review_count_user","average_stars_user","votes_funny_user","votes_cool_user","votes_useful_user"
"25","Vu29H1sy1poRld4LIL2Jqw","Sandy","3","3.67","0","1","1"
"26","iK7I2HQ8kiyms_XuENr55w","Juli","2","5","0","1","1"
"27","QlSVps_q61IThBo489_Zyw","Mike","1","5","0","0","0"
"28","mzenirXt-7sZR2RhkhvLDQ","Jordan","3","3","5","0","15"
"29","qMCT8OblN3finTvXcba-oA","Elizabeth","16","3.62","13","5","21"
"30","jy94hgtLcuD0BbZ7o8KCYQ","Dan","4","4.5","1","3","7"
"31","8lrTKMjIJ9kt7rfVtjq3qg","Beth","3","5","0","2","2"
"32","IcSsf2QCA7T-KpdraDxTew","Scott","6","3.8","0","2","3"
"33","d09KNIq4YPYq1u5nVyqIUg","Michael","8","3.86","0","0","2"
"34","vxxNafFH_OMD5B1l231toA","Kelly","1","5","0","0","0"
"35","bwPaqC08ddUoq-zminI3bw","Leslie","6","3.17","0","1","5"
"36","LzT8mSfliJHhs68RTwQW5w","Steve","3","4","4","0","3"
"37","vAAeeV-kqabpuVr-DmtdFA","Kathey","4","1.33","1","0","4"
"38","R75rQfzSeXzO9LVh0MFjJg","Clay","8","3.75","2","2","8"
"39","D_nff52rbs-OCZbVXeCqzg","Amanda","1","5","0","1","4"
"40","6lyD0ZdmmYZsOMFFwOWsog","Amy","8","2.62","0","1","3"
"41","hqjDAPapGKJ3U4wUN1dGMA","LaToya","3","4.33","1","3","5"
"42","iR8iTaCOjQCM-JG4qf23NQ","Kate","155","3.79","113","147","386"
"43","1Md7FNu_GujIwxbb9TqSqQ","DAVID","18","3.89","1","1","3"
"44","-LmTXrlHEfLpDi34FVXNAg","Camille","9","4","0","0","1"
"45","ysZSP646Ikjb9pPKxuBurw","Lorena","5","4.2","1","0","2"
"46","gXQ3peDz-H8mFZO_U4ys3w","Riana","30","4.27","21","37","38"
"47","8gIp7Emu7xBDnBjRKgkSOg","Mimi","15","3.87","5","8","17"
"48","44302NAooinHOKKIWHDKXA","Kelsey","41","4.07","8","12","20"
"49","BDa9RGFZv9TV2lGAiuqjxQ","Mary","1","5","1","1","1"
"50","qw8n1PUrt4qBh-4eMjfv0Q","Carmen","27","4.11","1","2","14"
"51","F2M53He6gzMb1vp3m7cKJg","Syd","10","4.78","0","0","3"
"52","Mcdt7tUA7jqiqCtyxXgq4g","Kristina","2","2","0","0","0"
"53","q10h5nL1LnbaKMlNOfahfQ","O","3","4.33","2","1","6"
"54","CUUpi7gtqx1zojEGJ6Z5ew","Gabe","407","3.82","317","890","1244"
"55","6hvcowqr8NYug9u-Bzw8Jg","Jay","379","3.51","295","527","795"
"56","pjfwk6ZnCAcJAsX4V6QhpA","Dustin","1","5","1","1","1"
"57","BqmMeZQD03LHJ_vibTOp2g","Dino","8","3.88","3","2","6"
"58","lodglSjhVGXzRUTDMoyOCg","Brian","118","3.14","26","16","35"
"59","vSxaLh9RCl1BJDbIt0hxww","Ruby","5","4","2","0","5"
"60","yBMGCKvNXnb9Gr6VVRTHGw","Gerard","2","1.5","0","0","4"
"61","1zKpgs-JZixiWiS8PWdj2w","Trinidad","3","5","0","1","0"
"62","lzHNLEvRNFN-RQFmczYNBw","Katie","15","4.14","11","11","17"
"63","HplYk367S1EV6uywIIK5-w","Joe","3","4.33","0","1","0"
"64","IwDii1N3yCTXsgs4Nm2OEQ","Bari","3","5","0","0","1"
"65","sGL10Y44CVzzKNkLVeHOEQ","Dana","11","3.55","3","1","6"
"66","UF4IY9O6EaVo-hS5FqMsiA","Marisa","193","3.91","142","135","209"
"67","mmLIP0mFRbDgRjlKvJSAQw","Art","3","2.5","1","1","9"
"68","j9CYALELapJci8kQ61_7Cg","Nicole","5","4.25","0","0","1"
"69","Q9YX5k3ICwUYGkMjADSokQ","Melvyn","13","4.31","6","5","6"
"70","PyOkV3pQ1aw__O4VAWmvcw","FC","3","2.33","3","1","4"
"71","F6uG2OxXVNkAhuM24n3ZGg","Derek","2","3","0","0","2"
"72","Acl3hg7RPM6tj4zkPvdz1Q","John","2","3","1","0","2"
"73","dYtkphUrU7S2_bjif6k2uA","Junk","267","3.3","356","268","359"
"74","jgOtDM_CSVHoWhlf3JxUzQ","Alan","3","4.33","0","0","1"
"75","rbcbqdr8hV0iv8ISMheE3A","Kai","214","3.81","94","95","166"
"76","ZAbccZRkyprv9jA5JIqEAw","Rach","5","5","2","0","0"
"77","1NppMyL-2RXQvHUExIjxdA","Mike","90","3.52","15","11","52"
"78","cMmQsFyrYBv6hIE6NffqZQ","D","79","3.81","18","26","89"
"79","eSAmN-5RAu8y1igSvz_yJw","Eddie","252","3.95","444","728","970"
"80","VKOREbYBDBK5oaorb6j6mQ","kelly","23","4.13","17","17","24"
"81","LRsJbMmLXcMpZ3Fqcys0vA","Glenn","8","3.88","1","0","4"
"82","n4RPA0Cuem4ygQxPIdLBLQ","Stephanie","130","3.91","33","52","117"
"83","qQxDnjMexrsfltQV7I1mJw","Russ","21","3.81","1","10","24"
"84","pYfB2Asdqg5ampdmqEjdzA","Angie","1","5","0","0","1"
"85","-aCl04VaJ4FWzo7y2diKZg","Alex","1","5","0","0","0"
"86","TGQRbUuikgzO2ARVicH1cQ","Debra","4","4.75","0","1","5"
"87","akmkd_2iLRrbOyPBfYLN0A","Miss Kae","59","3.24","87","118","171"
"88","f72UJVOllcjgpZdOi7-gkA","M","7","3.5","3","2","12"
"89","EJeBInfAGoBiVWqXX2YTQg","James","3","4","1","1","4"
"90","rpMb-wEYPevvuaKLIbqrvQ","Ania","1","1","0","0","1"
"91","iIfuhtK9Pu7tLSNbxxoJfg","Lenin","2","5","0","1","2"
"92","BE27SDgLqJTEjVq2p9yZDg","Ryan","1","1","0","0","3"
"93","RqWIxCYG4a42mUCChgMQvA","Mickey","1","5","0","0","1"
"94","IFKDDiyY-ap8DNaSCIwbZQ","Catherine","32","3.1","7","4","11"
"95","sowwcc9gasFhwsdMgsMzrg","Nicole","4","4.75","0","0","1"
"96","XYx6ZiTSIpbC3qm_xEm-KA","Ron","3","4.33","0","0","0"
"97","f_rpabHGZ4SgFZp5_jQ8KA","Ash","2","3","0","0","0"
"98","zKyJDKJwAfWGB4HKXp9snw","Eric","36","4","29","25","35"
"99","owCSYaRJEiV-kk2L2HP00A","SJ","2","1","0","0","4"
"100","uBAMd01ZtGXaHrRD6THNzg","Anthony","16","4.33","5","7","17"
"101","JopzNRMvBxIc_M5pZfoK7Q","T","16","2.38","4","3","8"
"102","IBgAJmUpRFt7oxz0A7l80A","Ivy","4","3.67","0","0","3"
"103","FxEau0b8pC_N7QeZNHZZtw","Justin","12","2.8","9","2","9"
"104","u74AsCsDA4gSOGHySJTm3w","Rob","25","3.56","7","7","31"
"105","2QzrMw_uWZuhPFvqie0cmg","Joe","8","4","0","7","6"
"106","6LDJDgd3bllzpeo1JzJSIw","Shelley","4","3.25","1","0","1"
"107","z-TD7Mf07w8jdS2xbYp0Dw","A","5","5","6","7","7"
"108","_j70DLAT_Unc8uR_PNkp_Q","Jordan","5","5","5","5","6"
"109","S7Zlol5qxWrRGX21Uqs4_A","Debbie","1","5","1","0","4"
"110","ZpRbqGdmhgiENWtw_XQ4OA","Andrew","1","1","0","0","0"
"111","4expbzCvfg4ZEWh8MOD9Cw","Tyson","24","3.5","20","11","49"
"112","PXLb9RnpfSPRG4nNa1F05Q","Krysti","1","5","1","1","3"
"113","J0jywlzX6xwjDqPewyv7MA","Sharon","2","3.5","0","3","5"
"114","fM6zztYtf9W5DsXUhy941Q","Mister","71","3.65","15","25","67"
"115","F3kzrZd3R_z60p5mPeAT-Q","Chrystal","3","4.5","1","2","3"
"116","Lw2JfTJSlGLJa_qjoeYnbg","Emily","5","4.2","0","0","1"
"117","TSmeNkbRpG_8REsLeTIwnA","Jeremy","70","3.31","16","41","66"
"118","rxLztfrLaSOhwl5LTqbqzw","Tiffani","4","1","1","1","6"
"119","GDs9jnBBln3KhU0teNsHDQ","Eric","380","3.31","103","60","179"
"120","UlF9QddRCygQrmmXuwIFjg","Arnold","42","3.87","5","5","14"
"121","K-N_hbnmYNt35J35ocjbww","Jack","1","3","0","0","0"
"122","i2srUvYyu0rX8ODt_RKG3w","Mizuagi","1","1","2","0","1"
"123","GN-4LStZtWdAqNjwUUEvNQ","Adam","18","3.78","6","5","26"
"124","jv9monaBCfX84LIW5gFs2w","Russell","2","3","1","1","6"
"125","3ouCNuKrN3cw3bBZHXdcyQ","Nicole","6","3.6","0","0","3"
"126","SfXcp7C6lzRgYBiNL6zX7w","Nikolas","26","4.27","3","3","25"
"127","kfvcQcMouoxlw4bmQebxww","Pam","4","3.75","1","4","4"
"128","2mQpxWifARjbp7H1rehVrQ","Sal","238","3.65","196","412","578"
"129","gkLF4m_BlvFRhOuh1OGgyw","Dan","1","5","0","0","0"
"130","7xp8QB-6APuFbiSdEI3-4Q","Terry","1","5","0","0","0"
"131","YyV13Qb7TL-o1rvn_b1VGA","Aaron","1","5","0","0","1"
"132","Cw_f-K74pUnQs-A16itmEg","John","3","4","0","0","2"
"133","weBOpmQtMv8Z_L54gPs3hw","Jennifer","9","3.86","0","0","4"
"134","nVs5vkTn-rcbpVbnfl_KWw","Mychal","1","5","1","1","1"
"135","Uo74EZEYjOeEfsUpdS3oiw","Billy","2","3.5","1","0","3"
"136","JiJSN4Ke7om8lkkllKTR5A","Allison","21","3.95","3","2","7"
"137","AcErO3j0GFTXbdJHbuD2-Q","Ron","47","3.79","18","21","48"
"138","53AZajKCKZsf-VosN8Dmeg","Colby","5","4","3","3","7"
"139","1O7mOUPJCxB6e5pdyCin4g","AB","5","4","0","0","2"
"140","nu6xTWhL3SVrnxPgJOE73Q","Stephanie","7","1.8","1","0","12"
"141","xZJO6cRX6OHabaePvPzsXw","Sarah","6","4.17","0","2","4"
"142","v1ntgoANp9xLxf4u5iJR4Q","Tim","2","5","0","0","2"
"143","bbVdfdqq3_XmWTxrhqPa0Q","Chris","4","4","1","2","3"
"144","oe614PyMdAayDUfWEaFUUA","Barbara","88","3.89","20","23","116"
"145","Qo8UkUSL5y-MCw50eIACsQ","Daphne","18","3.17","2","1","6"
"146","sXWvDlMQspjJ1zzr3cEM7Q","Meridith","439","3.64","210","580","907"
"147","Wg4mxEGEI7Vz8VC0WCI69Q","Joe","14","3.62","5","11","28"
"148","fJH98Ok6ZlfBmsd0h_HaUQ","Anne","8","3.5","0","3","16"
"149","hkXeZdoz2uk1ZLORqYQ47w","Richard","8","4.12","0","2","3"
"150","tHE3AJdBju9VQ0fzbP72dw","Jordana","1","5","0","0","1"
"151","O5dNmqcrCiE7FG7VS3y-Cw","Chase","28","3.75","8","14","39"
"152","ify3N2NjFX_sjDnslizsvw","Grace","26","3.85","1","0","10"
"153","oQSK7Poz3Ex95qpsv2EUcg","Donald","1","5","0","0","1"
"154","SFWaDnvJtHPD0pIru1y8wg","Kathy","12","3.92","9","6","28"
"155","ThZw3MFhwjxU4bjeFL3Pcg","Kelli","5","4.6","5","1","3"
"156","ZsjBAQiO5lNa_Tzlr3_FlQ","Daniel","5","3.8","5","5","6"
"157","oFHxCaz9iIkuilTtqlzxEg","Larisa","332","3.93","43","91","209"
"158","bzE1d8iiwkswuyjqC7r11Q","Jonathan","3","3.33","0","0","1"
"159","j0KVSX1QWLgjqVoYLjLqEA","John","11","4","1","2","16"
"160","RD2YHSnQCy2iSN_EGo3QdA","Jason","4","3.67","3","4","12"
"161","nr5-g3HCSidJ9fBoAP39jA","Justus","29","3.97","6","6","21"
"162","9b7HeM91XY9tIFGFVi7Y5A","Jennifer","8","3.71","2","1","4"
"163","AIvZS_tQ7y-ADNji1KM9Bg","Cathy","4","3","1","1","3"
"164","iSjr5iewkapr08l5SPAi0A","Jennifer","7","1.6","4","1","8"
"165","dlcDKOOlGeQ7Cu-6tAiHYg","carrie","30","3.93","3","3","11"
"166","T2u4D_GmKo5KbDiXLRTcyA","lenoxx","15","3.43","6","5","16"
"167","AdNbFzW14o88wNo7dTKz6g","George","3","3.5","2","2","2"
"168","RxX5_RP3hSGpMhGY6y6OiQ","Joe","13","4.85","3","1","9"
"169","yf8gN_pRFE4c3zs1D72l4g","Staria","2","4","0","0","0"
"170","bWNjCQyTJttofo3dKtTTPQ","Tricia","198","3.75","35","58","140"
"171","PyhTmEpgkP1CMGJP-bB9DA","Richard","1","5","0","0","1"
"172","4CJGQajGdc8JwFneADetcQ","Jeff","1357","3.67","2036","2331","3391"
"173","3sfS66tTc2BLmcU959dSsg","Simon","14","4.15","2","0","2"
"174","p7CS-HdINxXUVxn9Ss09VA","Micah","19","4","2","4","35"
"175","LFLqZT3zTP5nJ0kH_ydVkg","Amy","4","2.75","0","2","4"
"176","VbkrQcb615YaVp7bFyt5fQ","Tanya","31","3.94","52","43","97"
"177","JK0mzJWym6AFSrw849bmrQ","Steven","11","4.18","2","6","11"
"178","ngU1vdwjT2lGOsdTq1JK5A","Steve","9","4.22","4","4","11"
"179","23zT_daU4O5VcFnajw8MTg","Casey","22","4","1","11","31"
"180","SgLoVOP_KUVQuDDI3PpkFA","Jessica","17","3.88","9","3","22"
"181","-d12fQpJ6XhN-hPzxeStCg","Kelly","1","5","0","0","0"
"182","TbZ9KAHJGtmV73thmvjygQ","Jennifer","2","4.5","1","0","1"
"183","83UjWE-VBOoOws1oI4JhfA","Paula","3","5","1","0","0"
"184","4k3-pyX966dnSMuvuBvLjA","Rachel","13","3.85","1","4","14"
"185","eT1fp_Js2GD5Z-FIt8CC1w","Pam","2","5","0","1","0"
"186","nTFnSwqOpyj5d4IifRa8XQ","alex","3","3.67","0","1","8"
"187","8Kvmut7tOYkAxa5KPBT3FA","Mary","4","3.5","0","0","1"
"188","vh85A2GSrIovm3W7CG4R0g","e.","4","4.75","4","4","7"
"189","4QA8ilDzVnF4j__I6E4T6w","Becky","5","2.8","1","1","6"
"190","OIEmHXKytEoQfnOu2Ozmgw","P","5","4.75","0","0","1"
"191","out_4MBKTtOqlXlHOlXwFg","Anne","16","3.5","2","2","19"
"192","J-H-q2-4AyFM1ILE4MARAA","Terrence","1","5","0","0","0"
"193","gQm2p1gmBPQ4f1sHxgRlbw","Conrad","6","5","0","3","9"
"194","TGZknBtL5dyiuoThHSKmMg","Nicole","2","1","0","0","2"
"195","GIBTgFC8amRa295ozndJIQ","Charles","2","4","1","0","0"
"196","lzutD82kSsk55M7XEId6GA","Patty","2","4.5","0","1","3"
"197","N56tE_bSNVAgk59avW-TFA","Mary","6","4.83","0","1","3"
"198","Qx6Kq92S72-tik94Hfn0UA","Madinah","2","5","1","3","5"
"199","zGsGvKgD-5ZtXNzTagjbkQ","Sue","2","1","1","0","1"
"200","vz05hlteS6XvnczIInsnqw","Corey","40","3.73","7","11","30"
"201","umHlSGfbPXti-VOinu7fkQ","Catherine","5","4","0","1","7"
"202","8McyBeTdW7D4BG87Tv41WQ","Carol","13","4.58","1","3","5"
"203","ew-YiTn2fJH0IyjXSltKBQ","Michelle","2","5","0","0","1"
"204","g5hVihQ30Nn-XoswvlvMvQ","Nanette","4","2.33","0","0","0"
"205","lw_Lj1XjPjOYrDIkDEcDzg","Kimberly","10","4.2","2","3","3"
"206","6dDBJ5G-C5lcuLeUAwwdvQ","Evan","1","4","0","0","0"
"207","VFcEaZC5ojcgA0RIcukggA","B","3","4","2","1","4"
"208","cKFd4AkPGpOkEy9zR_7O5w","Alyssa","13","3.92","1","0","4"
"209","sv6o8BdnMM8UB-KTH6N7kw","Cheryl","1","5","0","0","0"
"210","O8tNWUq6vPmvq2YTVD8hlA","Jill","258","4.12","349","402","776"
"211","F98yAgA43QQR0woD80Voaw","Jean","2","2.5","0","0","1"
"212","chHirosDitN1crv1thxA6w","Amy","2","5","0","1","1"
"213","ShQZSh_0Be48sy-JQOb5dg","Erin","43","3.67","3","4","29"
"214","jd_A8MB3M33Xy9Dd7UJ7_Q","Cassandra","10","3.7","4","1","8"
"215","Igu8LjeJunbmmsZycWZuEA","Jay","3","2.33","0","0","1"
"216","F5ACaWQvyUQ2HH7-YIkdkw","Charles","4","1.75","3","1","5"
"217","aNtYQW1GoDXlLzEsEmoR3w","Mia","1","1","0","0","0"
"218","e1a1i8aFuFeSn2dJbKycmw","Ovi","1","3","0","0","0"
"219","sNek-w3xKlwit6q_JpnT7Q","Jamy","23","3.83","4","5","14"
"220","SH9lxmHsiUxQ-2Ic7A0Bcw","Alex","5","4.5","0","0","1"
"221","Kc6eyirhmOH8vXBljMXDCg","Sandra","10","2.62","5","8","17"
"222","IWCF21myBYma3Cmb_9Z8LA","Mini","9","3.38","0","0","4"
"223","UG4Mj3GJs4PpnFlF6z7g1Q","Kayla","5","3.4","1","1","6"
"224","_D1zyYMjll4almoGZjBmkA","Lydia","5","5","1","1","5"
"225","oYiskdGb0XYT2NjRb-s_qg","Jeri","9","3","0","0","12"
"226","vtfOF92rj8kXGRlMPiprWg","Law","100","3.45","80","65","84"
"227","hWM1k9RNkPH9oCcoVS1ftQ","Melanie","43","3.74","6","11","35"
"228","15J3D1xNze1NbO2SoqAQfg","Frank","6","4.4","1","2","2"
"229","o99g5QZpt_wc4bk1uvEH7w","Peter","10","4","3","1","16"
"230","bgjGWDjAxqIPF7BJBUps2A","Molly","24","2.57","16","14","66"
"231","iY_jDdD4BrRMSYgn3tCDtQ","Stu","5","4","2","4","6"
"232","nAjxNm5aWD60h6qy2bMacQ","Stef","3","4.33","0","0","1"
"233","US3AZyMVZJxg_3Tzs4xoEA","Julie","15","2.8","5","3","9"
"234","2qHG0PbNhP2GYv5ITnSFRQ","Lilian","2","3","0","1","2"
"235","nUGV1dVjO84ZI3nplRbwFQ","Luke","5","4.2","1","4","19"
"236","R5jIAytpLfAPwsIpsViEsQ","Scottsdale","1","1","0","0","0"
"237","yTvUoE-kAg6l11mGkdJFJA","Thomas","4","3.75","2","3","8"
"238","DYs-7UH4lhgjvGe4d8huvA","Laurie","3","2","0","0","2"
"239","7OqeO0eqe805StjppUvUFA","Kaity","68","3.35","35","47","128"
"240","0bf_zvgBrEOnx7TLh8dxOQ","Tony","173","3.63","12","47","63"
"241","JvVYWmY3xmiu5cpbsGfTaA","Matt","2","4","0","0","1"
"242","TD5LHxKwYJWkSVjxx8y2pg","Kalika","2","2","3","0","0"
"243","ATlqgcQwb3XzvDnq3Lv-0A","Ryan","133","3.72","24","27","92"
"244","MAvkqp_gDtKYU1d981XnwA","Kyle","24","3.96","6","10","30"
"245","POPVwe5sCm-SQZVkBo8S2w","Sean","43","4.05","4","2","18"
"246","8D408fDn0twwIW6FZ42YWg","Kathy","26","3.15","14","9","46"
"247","c-nW0Acxj4mbX47XSpmJPg","emi","37","3.62","12","6","27"
"248","qm5xGd3d47RfLWib0ryMAg","amanny","18","3.83","26","21","41"
"249","6SLj8XiCdqeR_DHR2JmEdw","Laurie","3","4","1","3","2"
"250","fl3mDJ62rLlKIdF39Lv8MQ","Chris","6","3.33","3","2","3"
"251","btv7I8PxSgF4GQFIDq4rYA","Stacy","1","5","0","1","2"
"252","NdytAQjOvVt1Ro8-Z99ngw","Tara","14","3.86","1","2","14"
"253","-nt-buRWQvDsbXuvhole0w","Robin","34","2.76","20","10","36"
"254","VDay0jaCPqADA2PIYco0uw","Courtney","1","2","0","0","3"
"255","pYsYs7eQ9SWqAaQS0xoRLA","Greg","412","3.65","3807","4135","4704"
"256","Dw8c5RaDIvbQ16eubug6rQ","Jim","1","5","2","0","1"
"257","1u_jzMe9q3rHLUr8wb_GdA","Mindy","17","4.81","1","3","2"
"258","UiEyQ_x2wNF6Ad8KFdoZ_A","Patty","3","5","0","1","1"
"259","_FbZ1gXZL349iiz5D8gz2Q","Chris","22","3.64","10","14","34"
"260","Ryy5lzNOevuI3aEc95768Q","Joe","8","5","3","2","4"
"261","SnbTDuEJZ3bvarb2L0Ykrw","Ryan","9","3.78","0","1","2"
"262","P-lfV8cdAgEOZJkw2dJpsw","David","1033","3.92","6311","9884","9219"
"263","cCQberZUpkXgdGtCoqTvMg","Patrick","3","3.67","0","0","3"
"264","-hSy455NBx_lQ3SeQioq2Q","Dennis","26","3.65","3","4","23"
"265","vewaAGn2n53naTA1a2WP_A","Stacy","5","4.2","0","1","12"
"266","Z18eLwQq7SYPd02nPo7juA","Andrew","1","5","0","1","2"
"267","xJmdrh4uEDAKf-2KjRArHg","Jack","6","3.4","1","1","1"
"268","uEG5uD9wMJixGWxaq34IEw","Steven","139","3.64","82","85","194"
"269","PESZTjx1dw1XFdZp972qbA","Brian","5","4.2","2","3","2"
"270","0PDyF0G9HNEkC4qT2cSQFA","Mike","8","3.29","1","1","5"
"271","q6wboZhfNXd9dI57ct0XIw","Munaf","1","4","0","0","0"
"272","f-_7wdkiXOc9TEfa4ZJEwA","Daina","8","4.62","0","0","1"
"273","0w7AQaUnSQztBbt4JT9k5w","Samantha","8","4","1","2","3"
"274","jfXT_8J_EQnJVa4sJ3z6hg","Leang","1314","3.8","431","770","1543"
"275","96Re6vNVUJcozL0FEzO-Nw","Donna","3","4.67","0","0","0"
"276","TPxhtgj6BzpKBih2G5EHIQ","Rachel","6","2.6","8","2","7"
"277","iP2sk2ek0sDyWJIZyU4j2g","Kristen","2","5","0","1","1"
"278","d0KoBZ8tnsMzb2iG45vG-g","Amanda","18","3.33","0","2","7"
"279","74BsmOZHUUdsvzYtGtlRiw","Jennifer","347","3.81","270","334","489"
"280","ZjP38OJwq604QnBzDxVlSA","Kalia","7","4.14","6","3","4"
"281","mYhWH6RExfM_EpMR_uUozQ","Walton","28","4.25","1","2","6"
"282","uyUfGVoOwQVtpBEhVCVcbw","K","2","5","1","0","1"
"283","8Uuwc4VaupFWvlGRwOZ31w","C. Edward","26","3.88","2","4","24"
"284","VdL4eS8fAWCNInNtMvd-tw","Rocky","17","2.82","0","0","2"
"285","jQcGFSO18cicLzCtjhvGBA","Kari","5","4.8","1","4","4"
"286","XoNSmEkutP_17dO7HLYc1Q","Maria","31","3.23","12","12","65"
"287","3QaC0Ljl2hWLdL_jzt6nJA","Roy","16","4.31","2","3","6"
"288","cRDmScDj6j_jPlyZn27bXA","Brad","11","2.7","2","0","4"
"289","dVXdgn9PKvSozekkyhi16Q","David","3","4.67","0","0","2"
"290","fCAuRQFkaN3UEebkfgpHUw","April","8","4.5","3","2","2"
"291","I5AcIAujn4X0fzjq-CTLBg","Shelton","4","5","1","1","2"
"292","FGFYZUNgWcyBpWWH-1aauw","jay","1","5","0","0","1"
"293","Bw9aoRUhoog-AtVnDBw_eA","Johnathan","7","4.43","1","1","4"
"294","YCaqPOlG6CfKOSXUGAKicA","Gidget","2","2","0","0","0"
"295","-txH2zJSBZQHO6RWvoWXuQ","Jacqui","58","4.05","155","267","243"
"296","jmquyMQUHSuS8IQkv5PyYg","Penelope","7","4.83","4","9","11"
"297","jyu9ThrwLGgVE1csLKR1Yw","C","13","3.77","1","5","8"
"298","6Oko6gNlXvknpF27R1FWOA","Rob","5","3","2","1","1"
"299","dDH8DGz2-PG558RHu5rWDQ","Dan","8","3.14","0","3","3"
"300","IwZkZmCpc2D7DslEogiBYg","Penny","1","4","0","0","1"
"301","1g-nGTPpg3_pjYbkgRI9jQ","Joe","1","4","0","0","0"
"302","x8n40c7W1MTWTTXsI2TxTw","Jane","50","3.9","22","30","56"
"303","tdNV2Wb0LrFpm1Yfov_Klw","Deb","357","3.91","1511","2110","2519"
"304","TouZvN0GpE8Ngm8_cWOK1w","Chris","9","4","5","3","6"
"305","P1gw1GkB7Kye4LK52a9kXA","Marlena","6","3","3","1","14"
"306","gQhHDBekmBHSKdQ2j5mmQg","Gretchen","61","3.15","7","9","23"
"307","nWp3eeRsjv1ol3wCt3Ry7Q","Sveta","6","2.67","0","0","5"
"308","SZxqMdlFbidxrxjiCDzryQ","Patrick","5","3.2","1","1","6"
"309","Fjs6c1PwzY1YbTcuAyubCQ","Mark","32","4","5","9","15"
"310","AVHseP2_PaUlCWhSsS7oKg","Jason","3","3.5","2","0","1"
"311","t6u29OyVPTIDI-RUlmp-WA","John","1790","3.33","5167","5858","6491"
"312","5hOiRU4n02xNvxsfKKoznA","Kristin","9","3.44","3","5","8"
"313","KwYxQgDFvM24DYXSVfEraA","T","3","1","0","0","2"
"314","i4MKtZoii8WCSq518WvIkw","Brittany","60","4.1","37","75","144"
"315","oeQjThrGQAQIHWN2qBeERw","david","29","4.21","7","10","29"
"316","mQba83gB018LlGt51r80ZQ","Dan","106","3.82","66","80","169"
"317","3qgnVSizS98l5yZXGOW_sg","Kirsten","1","5","1","2","1"
"318","qnMSU4fQFauVQGLCotjlww","Joell","1","5","0","0","0"
"319","j2mGvnnXhp_fUxiNIoH6KQ","A.","27","3.44","8","7","25"
"320","dPPa8QTRDT-6-LfRYQeIHQ","Paul","7","3.29","4","1","3"
"321","rUkjzVMimlyQ5n6iePQ5FQ","F","24","4.04","2","2","16"
"322","WYfVgKWdSHr8NoOEjnf8BA","David","174","3.62","18","30","86"
"323","VW7x5Jo1Yi0c34-kOT63pQ","Daniel","1","1","1","0","4"
"324","gY-ne6NPsUzCdeWJonLhzQ","Dennis","23","3.43","12","16","31"
"325","r8Jtn1IXRsZEddyYLdczDA","Tom","4","3.75","0","0","4"
"326","8AmFNpqDOvj5Yjfhxpysvw","Mike","51","3.86","1","1","18"
"327","NwsZvz90aj-bUg5hjyJmWg","Christopher","27","3.26","12","7","49"
"328","r3tb0RdVAx0wiGWFLv0t8g","Dyl","2","4.5","0","2","4"
"329","PKZvqm3IeWiWBYoDDoEG4w","p","10","3.22","0","0","5"
"330","yvvtblpPi_QH41Jm6ari0w","Sarah","5","4","18","16","49"
"331","HrJ2gJ-J-WuoUKTAz_02Aw","alfred","20","3.2","9","5","25"
